8.1295,1.5470,5.2356,-1.9001,-26.9274,-26.5207,-10.2245,0.6253,15.9019
7.9775,1.5568,5.2650,-1.5522,-26.9421,-26.5882,-10.2223,0.6383,15.9067
7.9579,1.5147,5.3602,-1.2412,-26.9473,-26.5423,-10.2304,0.6158,15.9075
7.8441,1.4882,5.4053,-0.9685,-26.9699,-26.5316,-10.2679,0.5943,15.9032
7.5243,1.4901,5.4465,-0.6530,-26.9295,-26.6206,-10.2739,0.6081,15.8968
7.3958,1.4607,5.5260,-0.3198,-26.8879,-26.6477,-10.2471,0.6243,15.8857
7.4036,1.4705,5.5829,-0.0115,-26.8951,-26.6688,-10.2431,0.6142,15.8833
7.3585,1.4950,5.7065,0.3182,-26.9229,-26.6971,-10.2394,0.6162,15.8847
7.2869,1.5088,5.8163,0.7313,-26.9351,-26.6503,-10.2249,0.6305,15.8756
7.1986,1.5206,5.8654,1.0521,-26.9367,-26.6382,-10.2157,0.6296,15.8744
7.0789,1.5421,5.9380,1.2962,-26.9541,-26.6558,-10.2057,0.6354,15.8671
6.9906,1.6245,6.0538,1.6252,-26.9993,-26.5892,-10.1953,0.6471,15.8622
6.9131,1.6765,6.1175,1.9539,-27.0766,-26.5001,-10.1887,0.6587,15.8762
6.8435,1.6618,6.1597,2.1923,-27.1271,-26.3826,-10.1641,0.6852,15.8608
6.8503,1.7776,6.2539,2.4227,-27.2411,-26.2969,-10.1682,0.6913,15.8593
6.7699,1.7835,6.2058,2.6666,-27.3527,-26.2917,-10.1772,0.6855,15.8693
6.6963,1.7942,6.2186,2.9205,-27.3819,-26.1754,-10.1785,0.7086,15.8635
6.6021,1.8364,6.4079,3.1953,-27.4025,-26.0693,-10.2425,0.7306,15.8819
6.6316,1.7717,6.4648,3.3652,-27.3911,-26.1792,-10.2820,0.7649,15.8825
6.7336,1.7913,6.4334,3.4831,-27.3657,-26.2392,-10.2642,0.7984,15.9055
6.6747,1.8678,6.5197,3.5772,-27.3762,-26.2001,-10.2644,0.8211,15.9308
6.6904,1.8894,6.6178,3.5562,-27.3219,-26.3056,-10.2854,0.8431,15.9294
6.6502,1.8315,6.6492,3.5567,-27.2561,-26.3542,-10.3021,0.8539,15.9337
6.5266,1.8090,6.7179,3.6058,-27.1555,-26.3351,-10.3150,0.8763,15.9357
6.5364,1.8296,6.7454,3.5862,-27.0139,-26.4943,-10.3269,0.9256,15.9404
6.6424,1.8178,6.7267,3.4243,-26.9557,-26.5824,-10.3331,0.9576,15.9485
6.7346,1.7697,6.7934,3.2131,-26.8146,-26.6123,-10.3234,0.9772,15.9541
6.7709,1.7266,6.8748,3.0153,-26.6420,-26.7866,-10.3148,1.0062,15.9561
6.8444,1.6971,6.9004,2.8511,-26.5968,-26.9541,-10.3088,1.0304,15.9570
6.9435,1.6157,6.9121,2.5993,-26.4819,-27.0950,-10.3037,1.0476,15.9756
6.9847,1.5431,6.9631,2.2632,-26.2925,-27.2172,-10.3071,1.0756,15.9782
7.1633,1.6108,6.9298,1.9888,-26.1980,-27.2446,-10.3087,1.0735,15.9620
7.3781,1.5892,6.8641,1.7703,-26.1324,-27.3422,-10.3208,1.0229,15.9600
7.3173,1.4843,6.8886,1.5408,-26.0008,-27.4730,-10.3165,1.0038,15.9600
7.2741,1.4735,6.8356,1.2373,-25.9027,-27.5171,-10.2783,1.0270,15.9707
7.3447,1.4617,6.7365,0.9909,-25.8686,-27.6108,-10.2480,1.0354,15.9994
7.3251,1.4244,6.6747,0.7777,-25.8641,-27.6347,-10.2405,1.0295,16.0040
7.3497,1.4401,6.6119,0.4842,-25.8086,-27.6273,-10.2461,1.0373,15.9795
7.4370,1.4254,6.5649,0.1908,-25.6972,-27.6823,-10.2428,1.0578,15.9678
7.4899,1.3950,6.5227,-0.1082,-25.6993,-27.6820,-10.2267,1.0763,15.9597
7.5547,1.3754,6.4707,-0.4378,-25.7221,-27.6659,-10.2155,1.0666,15.9494
7.6116,1.3273,6.4236,-0.6869,-25.6849,-27.6606,-10.2116,1.0460,15.9507
7.6341,1.2773,6.3775,-0.8742,-25.7006,-27.6954,-10.2069,1.0478,15.9416
7.6842,1.2704,6.3088,-1.1354,-25.7540,-27.7006,-10.1995,1.0608,15.9179
7.7999,1.2714,6.1970,-1.3856,-25.8144,-27.5645,-10.1957,1.0498,15.9089
7.9000,1.2135,6.0920,-1.6205,-25.8542,-27.4434,-10.1920,1.0390,15.8957
8.0069,1.2125,6.0518,-1.8189,-25.8420,-27.4340,-10.1920,1.0437,15.8742
8.1443,1.2312,6.0155,-2.0023,-25.9426,-27.3869,-10.1963,1.0470,15.8646
8.1806,1.2773,5.9409,-2.1585,-26.0022,-27.3221,-10.2113,1.0353,15.8577
8.2777,1.3763,5.8762,-2.2827,-25.8988,-27.3154,-10.2369,0.9966,15.8740
8.4611,1.3989,5.8144,-2.4005,-25.8307,-27.3430,-10.2339,0.9529,15.8948
8.5102,1.3911,5.7938,-2.4693,-25.8923,-27.3053,-10.2127,0.9299,15.8866
8.5219,1.4401,5.7683,-2.5464,-25.9786,-27.2436,-10.2120,0.9171,15.8759
8.5828,1.5029,5.6633,-2.5081,-25.9574,-27.2667,-10.2163,0.8763,15.8814
8.6151,1.5598,5.5701,-2.4584,-26.0035,-27.2401,-10.1965,0.8387,15.8725
8.5327,1.5676,5.6152,-2.3648,-26.0879,-27.1922,-10.1706,0.8032,15.8782
8.4199,1.4686,5.7438,-2.2805,-26.1450,-27.1376,-10.1544,0.7571,15.9032
8.4101,1.4234,5.7438,-2.1505,-26.2432,-27.0320,-10.1424,0.7178,15.9101
8.3414,1.4774,5.6290,-1.8826,-26.3184,-26.9732,-10.1462,0.6919,15.9082
8.1933,1.5304,5.5387,-1.6743,-26.4490,-26.9119,-10.1714,0.6790,15.9059
8.0491,1.5421,5.4867,-1.4321,-26.5721,-26.8745,-10.1944,0.6681,15.9004
